RX Date/Time,Time(field 1),x(field 2),y(field 3),z(field 4),x(field 5),y(field 6),z(field 7),Bx(field 8),By(field 9),Bz(field 10)
2023/11/04/ 16:41:22::963,26556,-348,20,-1002,437,1145,-851,12,-593,-1195,
2023/11/04/ 16:41:22::978,26567,-353,20,-976,448,1165,-862,25,-652,-1195,
2023/11/04/ 16:41:22::993,26578,-310,-25,-957,446,1177,-777,30,-662,-1192,
2023/11/04/ 16:41:23::003,26589,-341,45,-945,432,1185,-775,42,-643,-1173,
2023/11/04/ 16:41:23::015,26600,-343,45,-921,503,1212,-791,42,-667,-1155,
2023/11/04/ 16:41:23::023,26611,-378,45,-880,532,1240,-727,45,-685,-1150,
2023/11/04/ 16:41:23::033,26622,-436,57,-885,526,1260,-708,32,-705,-1117,
2023/11/04/ 16:41:23::046,26633,-383,60,-895,585,1260,-706,-5,-727,-1098,
2023/11/04/ 16:41:23::053,26644,-453,65,-875,552,1250,-697,5,-752,-1058,
2023/11/04/ 16:41:23::070,26655,-413,110,-817,581,1232,-671,5,-752,-1058,
2023/11/04/ 16:41:23::073,26666,-448,137,-815,592,1215,-663,-57,-801,-1062,
2023/11/04/ 16:41:23::085,26677,-471,120,-827,616,1217,-658,-30,-808,-1051,
2023/11/04/ 16:41:23::103,26688,-466,162,-773,636,1205,-621,-45,-836,-1027,
2023/11/04/ 16:41:23::113,26699,-461,195,-768,673,1202,-616,-62,-867,-1022,
2023/11/04/ 16:41:23::123,26710,-490,230,-737,695,1182,-618,-105,-877,-1030,
2023/11/04/ 16:41:23::133,26721,-448,262,-716,717,1182,-652,-108,-885,-990,
2023/11/04/ 16:41:23::146,26732,-451,282,-708,697,1130,-618,-141,-882,-1001,
2023/11/04/ 16:41:23::153,26743,-495,297,-718,726,1145,-595,-143,-887,-1003,
2023/11/04/ 16:41:23::163,26754,-495,297,-718,757,1145,-562,-171,-892,-1003,
2023/11/04/ 16:41:23::180,26765,-510,337,-633,743,1122,-536,-211,-915,-995,
2023/11/04/ 16:41:23::186,26776,-497,382,-607,793,1122,-500,-211,-915,-995,
2023/11/04/ 16:41:23::202,26787,-477,397,-633,841,1108,-517,-211,-960,-968,
2023/11/04/ 16:41:23::213,26798,-487,402,-593,836,1108,-515,-211,-955,-937,
2023/11/04/ 16:41:23::223,26809,-497,415,-591,887,1115,-552,-230,-947,-940,
2023/11/04/ 16:41:23::233,26820,-471,425,-573,898,1076,-533,-265,-996,-942,
2023/11/04/ 16:41:23::243,26831,-492,415,-578,901,1058,-507,-270,-942,-935,
2023/11/04/ 16:41:23::254,26842,-485,462,-573,890,1021,-528,-343,-945,-916,
2023/11/04/ 16:41:23::263,26853,-461,497,-588,893,1046,-526,-343,-942,-923,
2023/11/04/ 16:41:23::273,26864,-461,497,-588,890,1046,-500,-331,-981,-913,
2023/11/04/ 16:41:23::290,26875,-436,565,-526,872,1026,-528,-376,-991,-895,
2023/11/04/ 16:41:23::294,26886,-413,592,-526,872,1026,-528,-388,-978,-935,
2023/11/04/ 16:41:23::314,26897,-421,590,-518,953,953,-517,-381,-991,-886,
2023/11/04/ 16:41:23::323,26908,-408,597,-492,1016,966,-493,-413,-942,-881,
2023/11/04/ 16:41:23::333,26919,-421,605,-498,985,922,-500,-398,-981,-873,
2023/11/04/ 16:41:23::343,26930,-418,625,-451,1006,942,-491,-462,-993,-886,
2023/11/04/ 16:41:23::354,26941,-411,637,-443,1011,917,-500,-510,-1018,-881,
2023/11/04/ 16:41:23::363,26952,-381,680,-456,990,900,-500,-497,-971,-878,
2023/11/04/ 16:41:23::374,26963,-381,680,-456,975,887,-515,-492,-978,-865,
2023/11/04/ 16:41:23::387,26974,-383,670,-490,980,882,-550,-505,-932,-876,
2023/11/04/ 16:41:23::393,26985,-376,670,-446,945,925,-505,-505,-986,-852,
2023/11/04/ 16:41:23::403,26996,-406,670,-446,945,925,-505,-490,-1001,-883,
2023/11/04/ 16:41:23::419,27007,-416,665,-407,968,890,-415,-487,-993,-902,
2023/11/04/ 16:41:23::433,27018,-403,635,-420,1006,865,-452,-472,-986,-883,
2023/11/04/ 16:41:23::443,27029,-373,637,-420,1006,907,-452,-472,-1006,-828,
2023/11/04/ 16:41:23::454,27040,-408,620,-417,987,935,-420,-452,-1036,-843,
2023/11/04/ 16:41:23::463,27051,-403,630,-357,980,950,-398,-462,-991,-788,
2023/11/04/ 16:41:23::473,27062,-393,637,-388,990,937,-391,-416,-983,-791,
2023/11/04/ 16:41:23::486,27073,-473,590,-366,973,981,-298,-398,-1001,-753,
2023/11/04/ 16:41:23::493,27084,-473,567,-347,977,1026,-308,-381,-1021,-777,
2023/11/04/ 16:41:23::509,27095,-502,620,-301,997,1031,-298,-363,-1046,-713,
2023/11/04/ 16:41:23::513,27106,-497,585,-287,953,1046,-235,-371,-1056,-658,
2023/11/04/ 16:41:23::525,27117,-525,552,-251,1016,1056,-176,-371,-1056,-658,
2023/11/04/ 16:41:23::543,27128,-510,567,-230,958,1071,-182,-371,-1056,-658,
2023/11/04/ 16:41:23::553,27139,-512,570,-215,948,1083,-140,-331,-1076,-650,
2023/11/04/ 16:41:23::563,27150,-515,527,-200,975,1103,-152,-353,-1026,-618,
2023/11/04/ 16:41:23::573,27161,-547,537,-171,948,1096,-97,-315,-1041,-591,
2023/11/04/ 16:41:23::584,27172,-567,515,-147,942,1150,-68,-270,-1028,-525,
2023/11/04/ 16:41:23::595,27183,-547,452,-150,940,1167,-41,-242,-1066,-522,
2023/11/04/ 16:41:23::603,27194,-572,407,-128,891,1195,10,-220,-1066,-461,
2023/11/04/ 16:41:23::616,27205,-607,410,-95,891,1227,0,-178,-1028,-437,
2023/11/04/ 16:41:23::623,27216,-605,390,-43,918,1270,86,-178,-1048,-430,
2023/11/04/ 16:41:23::637,27227,-622,362,-51,870,1298,110,-136,-1073,-376,
2023/11/04/ 16:41:23::653,27238,-617,320,2,851,1313,145,-77,-1046,-340,
2023/11/04/ 16:41:23::663,27249,-643,325,30,798,1308,197,-37,-1036,-310,
2023/11/04/ 16:41:23::673,27260,-663,327,56,835,1331,235,-17,-1028,-276,
2023/11/04/ 16:41:23::690,27271,-648,232,80,783,1366,282,-15,-998,-246,
2023/11/04/ 16:41:23::693,27282,-632,162,171,760,1406,306,50,-998,-193,
2023/11/04/ 16:41:23::707,27293,-663,135,200,697,1428,338,60,-1023,-106,
2023/11/04/ 16:41:23::713,27304,-671,67,212,657,1428,415,128,-965,-66,
2023/11/04/ 16:41:23::723,27315,-671,30,243,545,1485,493,186,-930,-23,
2023/11/04/ 16:41:23::738,27326,-632,-30,308,552,1475,576,211,-962,28,
2023/11/04/ 16:41:23::743,27337,-678,-70,318,516,1490,635,237,-846,68,
2023/11/04/ 16:41:23::763,27348,-646,-127,410,471,1510,666,307,-761,212,
2023/11/04/ 16:41:23::773,27359,-622,-185,402,375,1522,706,373,-697,255,
2023/11/04/ 16:41:23::784,27370,-577,-240,425,327,1560,793,398,-657,286,
2023/11/04/ 16:41:23::793,27381,-562,-255,477,275,1520,798,437,-608,382,
2023/11/04/ 16:41:23::811,27392,-466,-365,542,166,1515,860,460,-530,467,
2023/11/04/ 16:41:23::813,27403,-443,-480,615,113,1542,922,495,-450,522,
2023/11/04/ 16:41:23::828,27414,-378,-517,627,81,1540,1031,480,-406,543,
2023/11/04/ 16:41:23::833,27425,-346,-575,658,-58,1482,1060,510,-285,612,
2023/11/04/ 16:41:23::844,27436,-302,-600,677,-128,1465,1137,556,-193,663,
2023/11/04/ 16:41:23::860,27447,-252,-660,708,-215,1366,1078,591,-128,772,
2023/11/04/ 16:41:23::873,27458,-158,-695,786,-293,1368,1102,591,-128,772,
2023/11/04/ 16:41:23::884,27469,-63,-735,745,-353,1288,1123,522,102,942,
2023/11/04/ 16:41:23::895,27480,0,-755,791,-435,1267,1095,561,222,907,
2023/11/04/ 16:41:23::903,27491,185,-820,817,-518,1152,1156,502,300,916,
2023/11/04/ 16:41:23::913,27502,260,-805,831,-547,1093,1171,505,386,942,
2023/11/04/ 16:41:23::927,27513,336,-820,812,-535,1048,1123,445,472,985,
2023/11/04/ 16:41:23::933,27524,433,-860,822,-623,953,1135,403,586,1001,
2023/11/04/ 16:41:23::948,27535,512,-822,822,-702,773,1047,373,662,1022,
2023/11/04/ 16:41:23::953,27546,595,-845,805,-755,701,1060,343,768,1016,
2023/11/04/ 16:41:23::963,27557,678,-822,812,-767,630,997,295,838,1016,
2023/11/04/ 16:41:23::983,27568,793,-745,822,-736,550,1000,232,890,1032,
2023/11/04/ 16:41:23::993,27579,802,-725,791,-778,443,936,232,890,1032,
2023/11/04/ 16:41:24::003,27590,890,-675,802,-803,361,893,42,1016,926,
2023/11/04/ 16:41:24::016,27601,1041,-620,757,-803,267,820,-32,1082,921,
2023/11/04/ 16:41:24::023,27612,1103,-562,721,-775,197,772,-57,1095,888,
2023/11/04/ 16:41:24::033,27623,1170,-537,682,-767,101,735,-153,1150,838,
2023/11/04/ 16:41:24::050,27634,1232,-495,648,-767,101,735,-208,1150,846,
2023/11/04/ 16:41:24::053,27645,1247,-467,677,-767,101,735,-257,1147,817,
2023/11/04/ 16:41:24::069,27656,1240,-407,638,-748,-66,542,-315,1175,767,
2023/11/04/ 16:41:24::073,27667,1298,-365,588,-715,-131,486,-343,1157,680,
2023/11/04/ 16:41:24::093,27678,1351,-337,576,-720,-136,455,-376,1193,685,
2023/11/04/ 16:41:24::103,27689,1358,-325,560,-688,-212,422,-413,1175,655,
2023/11/04/ 16:41:24::113,27700,1358,-325,560,-681,-210,353,-485,1165,578,
2023/11/04/ 16:41:24::123,27711,1358,-325,560,-665,-205,327,-492,1185,533,
2023/11/04/ 16:41:24::133,27722,1393,-192,436,-633,-285,298,-495,1167,480,
2023/11/04/ 16:41:24::147,27733,1403,-135,388,-628,-295,245,-603,1155,435,
2023/11/04/ 16:41:24::153,27744,1445,-132,321,-628,-295,245,-601,1182,397,
2023/11/04/ 16:41:24::163,27755,1455,-80,297,-561,-401,41,-665,1145,336,
2023/11/04/ 16:41:24::178,27766,1421,-50,256,-571,-426,20,-672,1145,283,
2023/11/04/ 16:41:24::184,27777,1450,-27,217,-501,-423,-88,-687,1137,225,
2023/11/04/ 16:41:24::203,27788,1460,-17,186,-500,-438,-150,-750,1117,142,
2023/11/04/ 16:41:24::214,27799,1465,22,121,-482,-441,-206,-712,1100,116,
2023/11/04/ 16:41:24::223,27810,1465,22,121,-453,-477,-298,-730,1056,31,
2023/11/04/ 16:41:24::233,27821,1445,60,-75,-435,-476,-301,-783,1048,-60,
2023/11/04/ 16:41:24::250,27832,1416,87,-121,-420,-485,-375,-778,1061,-158,
2023/11/04/ 16:41:24::253,27843,1416,137,-183,-420,-492,-470,-793,1013,-191,
2023/11/04/ 16:41:24::268,27854,1413,127,-263,-333,-438,-581,-773,1026,-257,
2023/11/04/ 16:41:24::273,27865,1421,137,-318,-327,-438,-673,-828,1031,-333,
2023/11/04/ 16:41:24::284,27876,1338,170,-342,-312,-428,-658,-806,971,-355,
2023/11/04/ 16:41:24::302,27887,1311,127,-410,-327,-406,-706,-773,960,-430,
2023/11/04/ 16:41:24::313,27898,1318,145,-501,-291,-411,-772,-763,957,-506,
2023/11/04/ 16:41:24::323,27909,1318,145,-501,-317,-406,-827,-796,877,-562,
2023/11/04/ 16:41:24::334,27920,1250,132,-615,-307,-366,-886,-796,877,-562,
2023/11/04/ 16:41:24::343,27931,1242,142,-690,-267,-292,-955,-796,877,-562,
2023/11/04/ 16:41:24::353,27942,1187,125,-766,-260,-312,-976,-732,781,-812,
2023/11/04/ 16:41:24::366,27953,1207,145,-807,-262,-265,-1028,-702,806,-886,
2023/11/04/ 16:41:24::373,27964,1127,90,-865,-265,-245,-1047,-626,750,-952,
2023/11/04/ 16:41:24::387,27975,1106,112,-928,-272,-153,-1140,-638,735,-998,
2023/11/04/ 16:41:24::393,27986,1071,100,-966,-262,-148,-1140,-643,687,-1035,
2023/11/04/ 16:41:24::403,27997,1046,112,-1012,-202,-96,-1216,-603,652,-1083,
2023/11/04/ 16:41:24::423,28008,998,65,-1070,-193,-46,-1235,-568,626,-1128,
2023/11/04/ 16:41:24::433,28019,930,15,-1082,-178,13,-1258,-502,613,-1138,
2023/11/04/ 16:41:24::443,28030,865,15,-1111,-138,-8,-1296,-480,530,-1168,
2023/11/04/ 16:41:24::456,28041,885,-15,-1181,-181,103,-1327,-442,470,-1218,
2023/11/04/ 16:41:24::463,28052,810,-15,-1183,-176,128,-1315,-426,505,-1280,
2023/11/04/ 16:41:24::473,28063,781,-35,-1225,-176,128,-1315,-406,465,-1320,
2023/11/04/ 16:41:24::490,28074,748,-25,-1267,-226,252,-1343,-383,457,-1325,
2023/11/04/ 16:41:24::499,28085,711,-65,-1287,-193,280,-1317,-326,423,-1320,
2023/11/04/ 16:41:24::503,28096,678,-92,-1280,-183,310,-1315,-300,408,-1353,
2023/11/04/ 16:41:24::513,28107,666,-130,-1285,-142,368,-1310,-312,381,-1327,
2023/11/04/ 16:41:24::533,28118,602,-127,-1316,-138,383,-1348,-262,333,-1341,
2023/11/04/ 16:41:24::543,28129,545,-115,-1342,-155,431,-1343,-242,295,-1360,
2023/11/04/ 16:41:24::554,28140,473,-172,-1335,-150,476,-1312,-193,275,-1405,
2023/11/04/ 16:41:24::566,28151,480,-167,-1335,-131,515,-1322,-193,275,-1405,
2023/11/04/ 16:41:24::573,28162,423,-185,-1335,-97,590,-1333,-148,201,-1383,
2023/11/04/ 16:41:24::584,28173,418,-232,-1350,-56,663,-1301,-161,141,-1405,
2023/11/04/ 16:41:24::600,28184,373,-220,-1318,-23,663,-1272,-95,123,-1391,
2023/11/04/ 16:41:24::604,28195,321,-220,-1308,-68,686,-1280,-70,70,-1410,
2023/11/04/ 16:41:24::625,28206,285,-230,-1318,-45,746,-1258,-47,85,-1407,
2023/11/04/ 16:41:24::626,28217,255,-227,-1318,-71,721,-1280,-35,15,-1375,
2023/11/04/ 16:41:24::643,28228,255,-227,-1318,-35,776,-1246,-15,40,-1383,
2023/11/04/ 16:41:24::653,28239,202,-242,-1287,-18,812,-1203,-5,30,-1383,
2023/11/04/ 16:41:24::663,28250,160,-230,-1313,-3,817,-1203,2,5,-1410,
2023/11/04/ 16:41:24::673,28261,131,-267,-1292,6,830,-1147,42,2,-1370,
2023/11/04/ 16:41:24::684,28272,88,-230,-1311,-13,832,-1171,37,-57,-1423,
2023/11/04/ 16:41:24::693,28283,123,-232,-1306,63,872,-1135,47,-70,-1360,
2023/11/04/ 16:41:24::709,28294,108,-207,-1277,76,880,-1166,2,-85,-1308,
2023/11/04/ 16:41:24::715,28305,63,-202,-1298,73,930,-1118,30,-148,-1377,
2023/11/04/ 16:41:24::731,28316,66,-165,-1272,90,910,-1163,30,-118,-1367,
2023/11/04/ 16:41:24::733,28327,13,-170,-1265,95,910,-1163,10,-138,-1367,
2023/11/04/ 16:41:24::753,28338,31,-152,-1256,87,907,-1171,-12,-151,-1391,
2023/11/04/ 16:41:24::763,28349,23,-135,-1246,121,890,-1175,-10,-148,-1428,
2023/11/04/ 16:41:24::773,28360,41,-122,-1277,107,872,-1166,15,-148,-1375,
2023/11/04/ 16:41:24::784,28371,78,-147,-1306,136,905,-1135,-7,-133,-1438,
2023/11/04/ 16:41:24::793,28382,53,-130,-1272,147,850,-1201,-7,-133,-1438,
2023/11/04/ 16:41:24::803,28393,66,-132,-1303,147,850,-1201,-22,-138,-1412,
2023/11/04/ 16:41:24::823,28404,83,-140,-1280,168,865,-1177,-42,-126,-1431,
2023/11/04/ 16:41:24::824,28415,56,-100,-1280,131,832,-1225,-10,-151,-1420,
2023/11/04/ 16:41:24::839,28426,76,-77,-1272,150,822,-1206,-27,-138,-1436,
2023/11/04/ 16:41:24::843,28437,76,-77,-1272,168,850,-1195,-45,-141,-1426,
2023/11/04/ 16:41:24::863,28448,81,-102,-1301,150,842,-1208,-45,-161,-1460,
2023/11/04/ 16:41:24::876,28459,96,-95,-1298,178,817,-1211,-32,-153,-1420,
2023/11/04/ 16:41:24::884,28470,111,-90,-1316,150,845,-1190,-60,-146,-1455,
2023/11/04/ 16:41:24::893,28481,108,-60,-1303,168,835,-1190,-42,-126,-1473,
2023/11/04/ 16:41:24::903,28492,121,-70,-1316,168,835,-1190,-65,-138,-1428,
2023/11/04/ 16:41:24::913,28503,81,-65,-1308,150,835,-1208,-57,-176,-1417,
2023/11/04/ 16:41:24::929,28514,86,-110,-1287,152,825,-1213,-7,-136,-1441,
2023/11/04/ 16:41:24::933,28525,108,-87,-1301,138,857,-1227,-45,-148,-1441,
2023/11/04/ 16:41:24::947,28536,93,-147,-1318,166,832,-1195,-65,-143,-1398,
2023/11/04/ 16:41:24::962,28547,76,-162,-1323,118,865,-1187,-5,-166,-1388,
2023/11/04/ 16:41:24::973,28558,73,-87,-1270,181,810,-1156,-57,-148,-1410,
2023/11/04/ 16:41:24::984,28569,48,-105,-1265,173,845,-1166,-27,-161,-1412,
2023/11/04/ 16:41:24::999,28580,36,-67,-1251,186,850,-1113,5,-156,-1398,
2023/11/04/ 16:41:25::003,28591,53,-90,-1270,157,847,-1166,-60,-208,-1431,
2023/11/04/ 16:41:25::016,28602,41,-75,-1272,147,857,-1182,-5,-173,-1377,
2023/11/04/ 16:41:25::023,28613,31,-92,-1295,195,882,-1180,-5,-173,-1377,
2023/11/04/ 16:41:25::038,28624,53,-92,-1308,186,865,-1147,-12,-183,-1412,
2023/11/04/ 16:41:25::043,28635,83,-72,-1243,168,852,-1171,-67,-196,-1428,
2023/11/04/ 16:41:25::056,28646,36,-72,-1272,195,862,-1185,-62,-240,-1377,
2023/11/04/ 16:41:25::075,28657,36,-72,-1272,200,867,-1185,-37,-217,-1412,
2023/11/04/ 16:41:25::083,28668,21,-5,-1243,220,842,-1153,-87,-232,-1417,
2023/11/04/ 16:41:25::093,28679,6,-2,-1253,222,865,-1171,-60,-217,-1360,
2023/11/04/ 16:41:25::103,28690,31,2,-1222,241,857,-1163,-113,-232,-1445,
2023/11/04/ 16:41:25::113,28701,48,12,-1253,278,827,-1222,-113,-237,-1445,
2023/11/04/ 16:41:25::128,28712,13,32,-1267,320,842,-1153,-95,-285,-1483,
2023/11/04/ 16:41:25::133,28723,0,40,-1301,351,802,-1177,-136,-290,-1433,
2023/11/04/ 16:41:25::149,28734,-1,77,-1277,346,812,-1216,-136,-290,-1433,
2023/11/04/ 16:41:25::153,28745,-1,107,-1267,330,822,-1213,-230,-353,-1433,
2023/11/04/ 16:41:25::166,28756,-1,107,-1267,312,795,-1216,-203,-346,-1468,
2023/11/04/ 16:41:25::187,28767,-6,115,-1267,358,795,-1222,-265,-368,-1431,
2023/11/04/ 16:41:25::193,28778,3,152,-1258,393,761,-1232,-242,-391,-1426,
2023/11/04/ 16:41:25::203,28789,26,197,-1227,388,763,-1258,-292,-353,-1460,
2023/11/04/ 16:41:25::213,28800,33,180,-1251,388,756,-1235,-290,-333,-1438,
2023/11/04/ 16:41:25::223,28811,43,235,-1238,388,756,-1235,-285,-346,-1452,
2023/11/04/ 16:41:25::235,28822,38,232,-1253,425,696,-1248,-297,-333,-1468,
2023/11/04/ 16:41:25::243,28833,61,240,-1210,417,686,-1232,-328,-358,-1478,
2023/11/04/ 16:41:25::258,28844,31,260,-1248,417,668,-1248,-353,-307,-1476,
2023/11/04/ 16:41:25::263,28855,88,237,-1280,406,676,-1291,-353,-290,-1481,
2023/11/04/ 16:41:25::273,28866,103,222,-1248,401,678,-1317,-353,-290,-1483,
2023/11/04/ 16:41:25::289,28877,138,257,-1243,413,658,-1312,-378,-297,-1502,
2023/11/04/ 16:41:25::303,28888,133,257,-1261,432,653,-1325,-363,-287,-1483,
2023/11/04/ 16:41:25::313,28899,143,265,-1261,385,638,-1291,-366,-287,-1466,
2023/11/04/ 16:41:25::323,28910,162,260,-1270,380,625,-1272,-363,-255,-1483,
2023/11/04/ 16:41:25::335,28921,167,252,-1275,377,636,-1325,-396,-262,-1476,
2023/11/04/ 16:41:25::343,28932,180,225,-1251,375,562,-1296,-406,-260,-1457,
2023/11/04/ 16:41:25::353,28943,195,220,-1238,372,570,-1325,-386,-227,-1511,
2023/11/04/ 16:41:25::369,28954,177,250,-1282,361,562,-1338,-386,-227,-1511,
2023/11/04/ 16:41:25::375,28965,217,255,-1267,365,552,-1351,-378,-242,-1468,
2023/11/04/ 16:41:25::391,28976,202,255,-1298,375,572,-1320,-371,-250,-1526,
2023/11/04/ 16:41:25::393,28987,217,252,-1298,346,575,-1355,-396,-211,-1497,
2023/11/04/ 16:41:25::413,28998,192,242,-1311,358,590,-1333,-388,-225,-1487,
2023/11/04/ 16:41:25::423,29009,170,237,-1236,327,557,-1293,-371,-255,-1478,
2023/11/04/ 16:41:25::434,29020,192,247,-1256,351,620,-1296,-356,-222,-1476,
2023/11/04/ 16:41:25::443,29031,148,212,-1285,370,607,-1296,-358,-265,-1487,
2023/11/04/ 16:41:25::456,29042,197,242,-1287,365,610,-1306,-371,-255,-1490,
2023/11/04/ 16:41:25::463,29053,160,255,-1282,387,641,-1272,-383,-245,-1518,
2023/11/04/ 16:41:25::473,29064,160,232,-1280,403,597,-1315,-381,-275,-1490,
2023/11/04/ 16:41:25::487,29075,126,267,-1236,393,630,-1296,-391,-290,-1492,
2023/11/04/ 16:41:25::493,29086,106,255,-1267,430,625,-1282,-371,-331,-1478,
2023/11/04/ 16:41:25::509,29097,116,280,-1227,416,656,-1282,-373,-346,-1450,
2023/11/04/ 16:41:25::523,29108,73,320,-1178,471,673,-1230,-381,-406,-1441,
2023/11/04/ 16:41:25::533,29119,51,280,-1227,445,698,-1246,-426,-383,-1460,
2023/11/04/ 16:41:25::543,29130,51,312,-1210,480,713,-1222,-388,-398,-1466,
2023/11/04/ 16:41:25::556,29141,11,337,-1193,480,713,-1222,-416,-452,-1415,
2023/11/04/ 16:41:25::563,29152,-6,307,-1168,558,683,-1135,-393,-512,-1433,
2023/11/04/ 16:41:25::573,29163,-23,380,-1128,605,691,-1142,-391,-505,-1420,
2023/11/04/ 16:41:25::585,29174,-23,380,-1128,667,711,-1118,-423,-492,-1410,
2023/11/04/ 16:41:25::597,29185,-51,407,-1092,642,733,-1085,-423,-492,-1410,
2023/11/04/ 16:41:25::603,29196,-81,410,-1027,626,751,-1100,-426,-596,-1353,
2023/11/04/ 16:41:25::613,29207,-83,417,-1048,645,786,-1081,-421,-588,-1327,
2023/11/04/ 16:41:25::634,29218,-46,432,-1027,662,771,-1081,-423,-638,-1335,
2023/11/04/ 16:41:25::643,29229,-146,445,-993,667,791,-995,-408,-660,-1290,
2023/11/04/ 16:41:25::653,29240,-165,482,-981,667,791,-995,-391,-695,-1306,
2023/11/04/ 16:41:25::663,29251,-138,440,-971,720,832,-950,-383,-692,-1296,
2023/11/04/ 16:41:25::673,29262,-217,455,-918,743,810,-931,-358,-730,-1282,
2023/11/04/ 16:41:25::692,29273,-182,467,-913,777,840,-915,-418,-756,-1240,
2023/11/04/ 16:41:25::693,29284,-215,530,-890,772,827,-870,-426,-745,-1221,
2023/11/04/ 16:41:25::708,29295,-230,527,-831,793,850,-848,-440,-793,-1202,
2023/11/04/ 16:41:25::713,29306,-257,555,-742,848,817,-803,-460,-856,-1098,
2023/11/04/ 16:41:25::729,29317,-302,585,-690,867,827,-772,-485,-867,-1030,
2023/11/04/ 16:41:25::743,29328,-305,590,-658,898,830,-727,-510,-900,-1072,
2023/11/04/ 16:41:25::753,29339,-328,625,-630,930,850,-687,-530,-897,-1016,
2023/11/04/ 16:41:25::763,29350,-341,645,-545,1011,840,-623,-525,-922,-1001,
2023/11/04/ 16:41:25::776,29361,-321,665,-528,1016,890,-583,-532,-940,-923,
2023/11/04/ 16:41:25::785,29372,-326,687,-477,1026,847,-515,-507,-967,-871,
2023/11/04/ 16:41:25::798,29383,-338,732,-378,1023,862,-441,-558,-981,-817,
2023/11/04/ 16:41:25::803,29394,-373,730,-261,1042,860,-375,-546,-1008,-748,
2023/11/04/ 16:41:25::819,29405,-378,750,-238,1057,877,-325,-541,-1046,-682,
2023/11/04/ 16:41:25::823,29416,-408,795,-160,1097,830,-280,-541,-1046,-682,
2023/11/04/ 16:41:25::836,29427,-423,777,-128,1085,885,-190,-576,-1100,-503,
2023/11/04/ 16:41:25::853,29438,-423,810,-25,1083,910,-133,-583,-1061,-458,
2023/11/04/ 16:41:25::863,29449,-426,795,33,1110,847,-76,-583,-1102,-416,
2023/11/04/ 16:41:25::873,29460,-406,795,95,1092,857,55,-623,-1107,-318,
2023/11/04/ 16:41:25::885,29471,-398,782,160,1116,855,118,-626,-1082,-302,
2023/11/04/ 16:41:25::896,29482,-396,815,222,1116,845,221,-623,-1053,-206,
2023/11/04/ 16:41:25::903,29493,-396,815,222,1118,817,275,-616,-1076,-153,
2023/11/04/ 16:41:25::913,29504,-408,830,443,1123,832,322,-628,-1058,-63,
2023/11/04/ 16:41:25::927,29515,-391,795,501,1128,845,407,-631,-1023,-23,
2023/11/04/ 16:41:25::933,29526,-408,830,562,1083,822,455,-616,-1038,66,
2023/11/04/ 16:41:25::947,29537,-378,812,648,1100,842,517,-616,-1038,66,
2023/11/04/ 16:41:25::963,29548,-348,800,682,1110,800,583,-662,-1001,172,
2023/11/04/ 16:41:25::973,29559,-343,830,718,1068,753,600,-665,-996,215,
2023/11/04/ 16:41:25::985,29570,-310,877,762,1097,731,711,-702,-1001,278,
2023/11/04/ 16:41:26::000,29581,-297,892,836,1081,713,756,-710,-967,350,
2023/11/04/ 16:41:26::003,29592,-272,832,898,1050,691,811,-700,-927,416,
2023/11/04/ 16:41:26::017,29603,-272,832,898,1078,681,870,-672,-890,482,
2023/11/04/ 16:41:26::023,29614,-167,840,1077,1003,656,933,-690,-887,546,
2023/11/04/ 16:41:26::038,29625,-180,835,1085,1013,643,995,-705,-831,650,
2023/11/04/ 16:41:26::043,29636,-141,840,1155,1001,605,1023,-735,-781,685,
2023/11/04/ 16:41:26::053,29647,-98,782,1205,942,595,1071,-715,-763,748,
2023/11/04/ 16:41:26::074,29658,-103,760,1292,916,542,1180,-695,-685,928,
2023/11/04/ 16:41:26::083,29669,-46,732,1357,916,542,1180,-702,-623,1025,
2023/11/04/ 16:41:26::093,29680,-18,735,1420,786,476,1333,-720,-566,1088,
2023/11/04/ 16:41:26::106,29691,11,710,1425,765,505,1351,-685,-535,1086,
2023/11/04/ 16:41:26::113,29702,11,710,1425,693,473,1405,-675,-480,1176,
2023/11/04/ 16:41:26::129,29713,177,655,1547,671,458,1438,-652,-437,1240,
2023/11/04/ 16:41:26::133,29724,222,555,1605,590,428,1483,-670,-388,1301,
2023/11/04/ 16:41:26::145,29735,242,525,1633,530,426,1523,-593,-267,1393,
2023/11/04/ 16:41:26::161,29746,287,495,1685,490,358,1547,-660,-196,1396,
2023/11/04/ 16:41:26::163,29757,341,457,1698,442,376,1618,-613,-136,1452,
2023/11/04/ 16:41:26::183,29768,393,417,1718,367,336,1600,-556,15,1505,
2023/11/04/ 16:41:26::193,29779,436,392,1713,267,326,1632,-500,121,1553,
2023/11/04/ 16:41:26::205,29790,480,317,1732,147,287,1618,-537,138,1540,
2023/11/04/ 16:41:26::213,29801,505,272,1706,123,257,1600,-548,193,1553,
2023/11/04/ 16:41:26::223,29812,638,175,1670,55,235,1578,-532,282,1542,
2023/11/04/ 16:41:26::239,29823,632,110,1641,26,232,1552,-525,333,1542,
2023/11/04/ 16:41:26::243,29834,716,120,1600,-35,182,1516,-507,432,1518,
2023/11/04/ 16:41:26::259,29845,783,60,1602,-116,121,1495,-510,505,1537,
2023/11/04/ 16:41:26::263,29856,847,50,1560,-173,138,1447,-512,535,1547,
2023/11/04/ 16:41:26::275,29867,958,10,1535,-220,96,1420,-522,623,1521,
